"rules","support","confidence","lift"
"{AB4,K4,Y4} => {M4}",0.20253164556962,0.761904761904762,2.86621315192744
"{AB4,R3,Y4} => {M4}",0.215189873417722,0.739130434782609,2.78053830227743
"{AB4,AG4,Y4} => {M4}",0.240506329113924,0.730769230769231,2.74908424908425
"{AB4,K4} => {M4}",0.20253164556962,0.727272727272727,2.73593073593074
"{AB4,I4,Y4} => {M4}",0.20253164556962,0.727272727272727,2.73593073593074
"{A3,AB4,X4} => {I4}",0.20253164556962,0.888888888888889,2.7008547008547
"{AB4,J4,Y4} => {I4}",0.20253164556962,0.888888888888889,2.7008547008547
"{A3,AB4,X4,Y4} => {I4}",0.20253164556962,0.888888888888889,2.7008547008547
"{AB4,AG4} => {M4}",0.240506329113924,0.703703703703704,2.64726631393298
"{AB4,I4} => {M4}",0.20253164556962,0.695652173913043,2.61697722567288
"{AG4,U4} => {AD4}",0.20253164556962,0.761904761904762,2.61697722567288
"{A3,AB4,AG4} => {M4}",0.20253164556962,0.695652173913043,2.61697722567288
"{A3,AB4,AG4,Y4} => {M4}",0.20253164556962,0.695652173913043,2.61697722567288
"{AB4,J4} => {X4}",0.215189873417722,0.85,2.58269230769231
"{AB4,J4} => {I4}",0.215189873417722,0.85,2.58269230769231
"{AB4,X4,Y4} => {I4}",0.215189873417722,0.85,2.58269230769231
"{AD4,U4} => {T4}",0.20253164556962,0.842105263157895,2.5587044534413
"{A3,AB4,I4} => {X4}",0.20253164556962,0.842105263157895,2.5587044534413
"{AB4,AG4,U4} => {T4}",0.20253164556962,0.842105263157895,2.5587044534413
"{A3,AB4,I4,Y4} => {X4}",0.20253164556962,0.842105263157895,2.5587044534413
"{AB4,R3} => {M4}",0.215189873417722,0.68,2.55809523809524
"{T4,Y4} => {AD4}",0.215189873417722,0.739130434782609,2.53875236294896
"{I4,Y4} => {M4}",0.20253164556962,0.666666666666667,2.50793650793651
"{AB4,AE4,Y4} => {M4}",0.20253164556962,0.666666666666667,2.50793650793651
"{T4,U4} => {AD4}",0.20253164556962,0.727272727272727,2.49802371541502
"{AB4,U4,Y4} => {Z4}",0.20253164556962,0.695652173913043,2.49802371541502
"{A3,U4,Y4} => {Z4}",0.20253164556962,0.695652173913043,2.49802371541502
"{AB4,AE4,AG4} => {AD4}",0.20253164556962,0.727272727272727,2.49802371541502
"{AB4,X4} => {I4}",0.227848101265823,0.818181818181818,2.48601398601399
"{AB4,Y4} => {M4}",0.265822784810127,0.65625,2.46875
"{AG4,U4} => {T4}",0.215189873417722,0.80952380952381,2.45970695970696
"{A3,X4,Y4} => {I4}",0.20253164556962,0.8,2.43076923076923
"{A3,AB4,R3} => {I4}",0.20253164556962,0.8,2.43076923076923
"{AG4,U4,Y4} => {T4}",0.20253164556962,0.8,2.43076923076923
