date,city,weather
自2011-01-01到2017-04-01,合肥共出现,多云993天#雨723天#晴302天#阴120天#雪54天#1天。关注合肥历史天气
自2011-01-01到2017-04-01,安庆共出现,多云932天#雨829天#晴246天#阴125天#雪59天。关注安庆历史天气
自2011-01-01到2017-04-01,蚌埠共出现,多云1099天#雨622天#晴322天#阴109天#雪40天。关注蚌埠历史天气
自2011-01-01到2017-04-01,亳州共出现,多云1150天#雨527天#晴336天#阴137天#雪42天。关注亳州历史天气
自2011-01-01到2017-04-01,滁州共出现,多云1019天#雨708天#晴294天#阴123天#雪48天。关注滁州历史天气
自2011-01-01到2017-04-01,巢湖共出现,雨997天#多云797天#晴242天#阴103天#雪42天#1天。关注巢湖历史天气
自2011-01-01到2017-04-01,池州共出现,雨886天#多云868天#晴259天#阴119天#雪59天。关注池州历史天气
自2011-01-01到2017-04-01,阜阳共出现,多云1092天#雨614天#晴299天#阴139天#雪48天。关注阜阳历史天气
自2011-01-01到2017-04-01,淮南共出现,多云1078天#雨641天#晴299天#阴130天#雪43天。关注淮南历史天气
自2012-04-12到2017-04-01,黄山市共出现,雨815天#多云626天#晴206天#阴62天#雪39天。关注黄山市历史天气
自2011-01-01到2017-04-01,淮北共出现,多云1144天#雨570天#晴320天#阴116天#雪41天。关注淮北历史天气
自2011-01-01到2017-04-01,六安共出现,多云925天#雨750天#晴267天#阴186天#雪61天#3天。关注六安历史天气
自2011-01-01到2017-04-01,马鞍山共出现,多云992天#雨786天#晴263天#阴100天#雪51天。关注马鞍山历史天气
自2011-01-01到2017-04-01,宿州共出现,多云1148天#雨585天#晴281天#阴131天#雪46天。关注宿州历史天气
自2011-01-01到2017-04-01,铜陵共出现,多云938天#雨844天#晴239天#阴114天#雪55天#1天。关注铜陵历史天气
自2011-01-01到2017-04-01,芜湖共出现,多云994天#雨804天#晴253天#阴96天#雪43天。关注芜湖历史天气
自2011-01-01到2017-04-01,宣城共出现,雨891天#多云836天#晴290天#阴114天#雪59天。关注宣城历史天气
自2011-01-01到2017-04-01,澳门共出现,雨1023天#多云849天#晴298天#阴50天#2天。关注澳门历史天气
自2011-01-01到2017-04-01,北京共出现,多云740天#晴708天#雨430天#阴171天#99天#雪72天#沙尘6天。关注北京历史天气
自2011-01-01到2017-04-01,重庆共出现,雨873天#多云775天#阴426天#晴143天#雪5天#3天。关注重庆历史天气
自2011-01-01到2017-04-01,福州共出现,雨1051天#多云891天#阴207天#晴73天#雪1天。关注福州历史天气
自2012-10-23到2017-04-01,钓鱼岛共出现,雨726天#多云411天#阴296天#晴68天#62天。关注钓鱼岛历史天气
自2011-01-01到2017-04-01,龙岩共出现,雨957天#多云844天#晴243天#阴165天#雪13天。关注龙岩历史天气
自2011-01-01到2017-04-01,宁德共出现,雨1149天#多云822天#阴153天#晴97天#1天#雪1天。关注宁德历史天气
自2011-01-01到2017-04-01,南平共出现,雨1062天#多云835天#晴188天#阴136天#雪2天。关注南平历史天气
自2011-01-01到2017-04-01,莆田共出现,多云1102天#雨872天#阴182天#晴64天#1天。关注莆田历史天气
自2011-01-01到2017-04-01,泉州共出现,多云1166天#雨781天#阴170天#晴104天#1天。关注泉州历史天气
自2011-01-01到2017-04-01,三明共出现,雨1061天#多云902天#阴139天#晴120天#雪1天。关注三明历史天气
自2011-01-01到2017-04-01,厦门共出现,多云1174天#雨824天#阴149天#晴76天。关注厦门历史天气
自2011-01-01到2017-04-01,漳州共出现,多云1093天#雨862天#阴193天#晴75天。关注漳州历史天气
自2011-01-01到2017-04-01,兰州共出现,多云855天#晴765天#雨461天#雪98天#阴24天#沙尘22天。关注兰州历史天气
自2011-01-01到2017-04-01,白银共出现,多云888天#晴825天#雨390天#雪84天#阴20天#沙尘14天#1天。关注白银历史天气
自2011-01-01到2017-04-01,定西共出现,多云876天#晴701天#雨493天#雪136天#阴12天#沙尘5天。关注定西历史天气
自2015-07-23到2017-04-01,甘南共出现,多云254天#晴175天#雨136天#雪49天#阴3天。关注甘南历史天气
自2011-01-01到2017-04-01,金昌共出现,多云1443天#雨348天#晴269天#雪135天#沙尘26天#阴1天。关注金昌历史天气
自2011-01-01到2017-04-01,酒泉共出现,多云970天#晴867天#雨228天#雪74天#沙尘48天#阴35天。关注酒泉历史天气
自2011-01-01到2017-04-01,嘉峪关共出现,晴1107天#多云744天#雨225天#雪79天#沙尘38天#阴29天。关注嘉峪关历史天气
自2015-07-23到2017-04-01,陇南共出现,多云376天#雨113天#晴82天#阴41天#雪5天。关注陇南历史天气
自2011-01-01到2017-04-01,平凉共出现,多云1179天#雨507天#晴335天#雪121天#阴81天#沙尘1天。关注平凉历史天气
自2011-01-01到2017-04-01,大连共出现,晴927天#多云751天#雨405天#雪96天#阴34天#7天#沙尘4天。关注大连历史天气
自2011-01-01到2017-04-01,天水共出现,多云1111天#雨511天#晴427天#雪99天#阴70天#沙尘4天。关注天水历史天气
自2011-01-01到2017-04-01,武威共出现,多云1463天#雨360天#晴264天#雪116天#沙尘18天#1天。关注武威历史天气
自2011-01-01到2017-04-01,张掖共出现,晴994天#多云845天#雨257天#雪97天#沙尘23天#阴8天。关注张掖历史天气
自2011-01-01到2017-04-01,贵阳共出现,雨1283天#多云641天#阴187天#雪62天#晴51天。关注贵阳历史天气
自2011-01-01到2017-04-01,安顺共出现,雨1276天#多云658天#阴227天#雪35天#晴26天。关注安顺历史天气
自2011-01-01到2017-04-01,毕节共出现,雨1149天#多云689天#阴243天#雪107天#晴32天。关注毕节历史天气
自2015-07-23到2017-04-01,黔南共出现,雨301天#多云174天#阴120天#晴18天#雪2天#1天。关注黔南历史天气
自2015-07-23到2017-04-01,六盘水共出现,雨326天#多云178天#阴81天#雪19天#晴12天。关注六盘水历史天气
自2015-07-23到2017-04-01,黔东南共出现,雨260天#多云204天#阴107天#晴41天#雪4天。关注黔东南历史天气
自2015-07-23到2017-04-01,黔西南共出现,雨413天#多云108天#阴89天#晴4天#雪1天。关注黔西南历史天气
自2011-01-01到2017-04-01,铜仁共出现,雨960天#多云833天#阴316天#晴74天#雪37天#1天。关注铜仁历史天气
自2011-01-01到2017-04-01,遵义共出现,雨1035天#多云750天#阴339天#雪56天#晴42天。关注遵义历史天气
自2011-01-01到2017-04-01,广州共出现,雨919天#多云782天#晴366天#阴142天#12天。关注广州历史天气
自2011-01-01到2017-04-01,潮州共出现,多云1087天#雨835天#晴188天#阴111天。关注潮州历史天气
