"","date","city","weather"
"1","自2011-01-01到2017-04-01","南沙岛","雨1340天#多云877天#阴2天。南沙岛历史天气"
"2","自2011-01-01到2017-04-01","贵阳","雨1283天#多云641天#阴187天#雪62天#晴51天。贵阳历史天气"
"3","自2011-01-01到2017-04-01","安顺","雨1276天#多云658天#阴227天#雪35天#晴26天。安顺历史天气"
"4","自2011-01-01到2017-04-01","屯昌","雨1266天#多云933天#阴18天#晴3天#2天。屯昌历史天气"
"5","自2011-01-01到2017-04-01","防城港","雨1235天#多云821天#晴87天#阴77天。防城港历史天气"
"6","自2011-01-01到2017-04-01","贺州","雨1230天#多云816天#晴117天#阴57天#1天。贺州历史天气"
"7","自2011-01-01到2017-04-01","钦州","雨1214天#多云845天#阴104天#晴59天。钦州历史天气"
"8","自2011-01-01到2017-04-01","琼中","雨1211天#多云990天#阴15天#晴5天#1天。琼中历史天气"
"9","自2011-01-01到2017-04-01","河池","雨1189天#多云797天#阴132天#晴103天#雪1天。河池历史天气"
"10","自2011-01-01到2017-04-01","澄迈","雨1182天#多云1005天#阴32天#晴3天。澄迈历史天气"
"11","自2011-01-01到2017-04-01","定安","雨1174天#多云1018天#阴25天#晴4天#1天。定安历史天气"
"12","自2011-01-01到2017-04-01","贵港","雨1166天#多云872天#晴107天#阴74天#1天。贵港历史天气"
"13","自2011-01-01到2017-04-01","桂林","雨1160天#多云767天#晴186天#阴95天#雪14天。桂林历史天气"
"14","自2011-01-01到2017-04-01","宁德","雨1149天#多云822天#阴153天#晴97天#1天#雪1天。宁德历史天气"
"15","自2011-01-01到2017-04-01","毕节","雨1149天#多云689天#阴243天#雪107天#晴32天。毕节历史天气"
"16","自2011-01-01到2017-04-01","儋州","雨1144天#多云1049天#阴23天#晴4天#1天。儋州历史天气"
"17","自2011-01-01到2017-04-01","来宾","雨1140天#多云822天#阴145天#晴114天。来宾历史天气"
"18","自2011-01-01到2017-04-01","恩施","雨1134天#多云824天#阴117天#晴82天#雪66天。恩施历史天气"
"19","自2011-01-01到2017-04-01","白沙","雨1134天#多云1056天#阴30天#晴2天#1天。白沙历史天气"
"20","自2011-01-01到2017-04-01","郴州","雨1131天#多云701天#晴262天#阴96天#雪33天。郴州历史天气"
"21","自2011-01-01到2017-04-01","梧州","雨1128天#多云866天#晴139天#阴78天#雪11天。梧州历史天气"
"22","自2011-01-01到2017-04-01","玉林","雨1123天#多云799天#晴195天#阴105天。玉林历史天气"
"23","自2011-01-01到2017-04-01","韶","雨1102天#多云735天#晴277天#阴106天#雪2天。韶历史天气"
"24","自2011-01-01到2017-04-01","万宁","雨1102天#多云1095天#阴17天#晴4天#1天。万宁历史天气"
"25","自2011-01-01到2017-04-01","南宁","雨1078天#多云880天#阴143天#晴122天#1天。南宁历史天气"
"26","自2011-01-01到2017-04-01","海口","多云1119天#雨1067天#阴33天#晴4天#1天。海口历史天气"
"27","自2011-01-01到2017-04-01","南平","雨1062天#多云835天#晴188天#阴136天#雪2天。南平历史天气"
"28","自2011-01-01到2017-04-01","三明","雨1061天#多云902天#阴139天#晴120天#雪1天。三明历史天气"
"29","自2011-01-01到2017-04-01","福州","雨1051天#多云891天#阴207天#晴73天#雪1天。福州历史天气"
"30","自2011-01-01到2017-04-01","清远","雨1051天#多云812天#晴226天#阴133天。清远历史天气"
"31","自2011-01-01到2017-04-01","琼海","多云1139天#雨1046天#阴23天#7天#晴6天。琼海历史天气"
"32","自2011-01-01到2017-04-01","崇左","多云1047天#雨1039天#阴92天#晴42天#1天。崇左历史天气"
"33","自2011-01-01到2017-04-01","遵义","雨1035天#多云750天#阴339天#雪56天#晴42天。遵义历史天气"
"34","自2011-01-01到2017-04-01","文昌","多云1165天#雨1029天#阴24天#2天#晴1天。文昌历史天气"
"35","自2011-01-01到2017-04-01","澳门","雨1023天#多云849天#晴298天#阴50天#2天。澳门历史天气"
"36","自2011-01-01到2017-04-01","肇庆","雨1001天#多云892天#晴234天#阴95天。肇庆历史天气"
"37","自2011-01-01到2017-04-01","巢湖","雨997天#多云797天#晴242天#阴103天#雪42天#1天。关注巢湖历史天气"
"38","自2011-01-01到2017-04-01","阳江","雨996天#多云865天#晴200天#阴159天#3天。阳江历史天气"
"39","自2011-01-01到2017-04-01","长沙","雨995天#多云776天#晴290天#阴113天#雪48天#1天。长沙历史天气"
"40","自2011-01-01到2017-04-01","茂名","多云1005天#雨992天#晴133天#阴90天#1天。茂名历史天气"
"41","自2011-01-01到2017-04-01","湛江","多云1107天#雨985天#阴71天#晴57天#2天。湛江历史天气"
"42","自2011-01-01到2017-04-01","佛山","雨977天#多云915天#晴197天#阴132天#1天。佛山历史天气"
"43","自2011-01-01到2017-04-01","永州","雨977天#多云886天#晴192天#阴138天#雪31天。永州历史天气"
"44","自2011-01-01到2017-04-01","衡阳","雨975天#多云843天#晴254天#阴112天#雪36天。衡阳历史天气"
"45","自2011-01-01到2017-04-01","百色","多云1014天#雨971天#阴119天#晴117天。百色历史天气"
"46","自2011-01-01到2017-04-01","北海","多云1123天#雨969天#阴105天#晴26天。北海历史天气"
"47","自2011-01-01到2017-04-01","江门","雨968天#多云858天#晴307天#阴88天#1天。江门历史天气"
"48","自2011-01-01到2017-04-01","株洲","雨966天#多云820天#晴308天#阴89天#雪40天。株洲历史天气"
"49","自2011-01-01到2017-04-01","东莞","雨963天#多云919天#晴234天#阴105天#1天#冰雹1天。东莞历史天气"
"50","自2011-01-01到2017-04-01","铜仁","雨960天#多云833天#阴316天#晴74天#雪37天#1天。铜仁历史天气"
"51","自2011-01-01到2017-04-01","龙岩","雨957天#多云844天#晴243天#阴165天#雪13天。龙岩历史天气"
"52","自2011-01-01到2017-04-01","云浮","多云1034天#雨939天#晴127天#阴120天#1天。云浮历史天气"
"53","自2011-01-01到2017-04-01","河源","多云965天#雨931天#晴210天#阴116天。河源历史天气"
"54","自2011-01-01到2017-04-01","怀化","雨925天#多云875天#晴204天#阴178天#雪40天。怀化历史天气"
"55","自2011-01-01到2017-04-01","娄底","雨922天#多云868天#晴301天#阴91天#雪40天#1天。娄底历史天气"
"56","自2011-01-01到2017-04-01","广州","雨919天#多云782天#晴366天#阴142天#12天。广州历史天气"
