"date","high","low","weather","windDirection","windLevel","isRainy","city","url","title","now"
"2011-01-01","-2","-7","多云~阴","无持续风向","微风","0","北京","http://lishi.tianqi.com/beijing/201101.html","北京1月份天气|北京1月份气温|北京2011年1月份历史天气—全球天气网","2017-04-07 12:17:07.1746508"
"2011-01-02","-2","-7","多云","无持续风向","微风","0","北京","http://lishi.tianqi.com/beijing/201101.html","北京1月份天气|北京1月份气温|北京2011年1月份历史天气—全球天气网","2017-04-07 12:17:07.3077969"
"2011-01-03","-2","-6","多云~阴","西北风~北风","3-4级~4-5级","0","北京","http://lishi.tianqi.com/beijing/201101.html","北京1月份天气|北京1月份气温|北京2011年1月份历史天气—全球天气网","2017-04-07 12:17:07.3333146"
"2011-01-04","-2","-9","晴","北风","5-6级","0","北京","http://lishi.tianqi.com/beijing/201101.html","北京1月份天气|北京1月份气温|北京2011年1月份历史天气—全球天气网","2017-04-07 12:17:07.3560965"
"2011-01-05","-2","-10","晴","北风~无持续风向","3-4级~微风","0","北京","http://lishi.tianqi.com/beijing/201101.html","北京1月份天气|北京1月份气温|北京2011年1月份历史天气—全球天气网","2017-04-07 12:17:07.3976878"
"2011-01-06","-1","-10","晴~多云","无持续风向","微风","0","北京","http://lishi.tianqi.com/beijing/201101.html","北京1月份天气|北京1月份气温|北京2011年1月份历史天气—全球天气网","2017-04-07 12:17:07.4232064"
"2011-01-07","-1","-9","多云","无持续风向~北风","微风~3-4级","0","北京","http://lishi.tianqi.com/beijing/201101.html","北京1月份天气|北京1月份气温|北京2011年1月份历史天气—全球天气网","2017-04-07 12:17:07.4442326"
"2011-01-08","0","-9","晴","无持续风向","微风","0","北京","http://lishi.tianqi.com/beijing/201101.html","北京1月份天气|北京1月份气温|北京2011年1月份历史天气—全球天气网","2017-04-07 12:17:07.4722402"
"2011-01-09","0","-9","晴","无持续风向","微风","0","北京","http://lishi.tianqi.com/beijing/201101.html","北京1月份天气|北京1月份气温|北京2011年1月份历史天气—全球天气网","2017-04-07 12:17:07.5017730"
"2011-01-10","0","-9","晴","无持续风向","微风","0","北京","http://lishi.tianqi.com/beijing/201101.html","北京1月份天气|北京1月份气温|北京2011年1月份历史天气—全球天气网","2017-04-07 12:17:07.5282892"
"2011-01-11","-1","-9","晴~多云","无持续风向","微风","0","北京","http://lishi.tianqi.com/beijing/201101.html","北京1月份天气|北京1月份气温|北京2011年1月份历史天气—全球天气网","2017-04-07 12:17:07.5638049"
"2011-01-12","-1","-8","多云~晴","北风","3-4级","0","北京","http://lishi.tianqi.com/beijing/201101.html","北京1月份天气|北京1月份气温|北京2011年1月份历史天气—全球天气网","2017-04-07 12:17:07.6153385"
"2011-01-13","-1","-9","多云","无持续风向~北风","微风~3-4级","0","北京","http://lishi.tianqi.com/beijing/201101.html","北京1月份天气|北京1月份气温|北京2011年1月份历史天气—全球天气网","2017-04-07 12:17:07.6373515"
"2011-01-14","-2","-10","晴","无持续风向","微风","0","北京","http://lishi.tianqi.com/beijing/201101.html","北京1月份天气|北京1月份气温|北京2011年1月份历史天气—全球天气网","2017-04-07 12:17:07.6623724"
"2011-01-15","-2","-9","晴~多云","无持续风向","微风","0","北京","http://lishi.tianqi.com/beijing/201101.html","北京1月份天气|北京1月份气温|北京2011年1月份历史天气—全球天气网","2017-04-07 12:17:07.6868869"
"2011-01-16","-1","-9","阴~晴","无持续风向","微风","0","北京","http://lishi.tianqi.com/beijing/201101.html","北京1月份天气|北京1月份气温|北京2011年1月份历史天气—全球天气网","2017-04-07 12:17:07.7079037"
"2011-01-26","0","-8","晴","无持续风向","微风","0","北京","http://lishi.tianqi.com/beijing/201101.html","北京1月份天气|北京1月份气温|北京2011年1月份历史天气—全球天气网","2017-04-07 12:17:07.7314209"
"2011-01-29","-1","-10","晴","无持续风向","微风","0","北京","http://lishi.tianqi.com/beijing/201101.html","北京1月份天气|北京1月份气温|北京2011年1月份历史天气—全球天气网","2017-04-07 12:17:07.7554376"
"2011-01-30","3","-7","晴","无持续风向","微风","0","北京","http://lishi.tianqi.com/beijing/201101.html","北京1月份天气|北京1月份气温|北京2011年1月份历史天气—全球天气网","2017-04-07 12:17:07.7829571"
"2011-01-31","7","-7","晴","无持续风向","微风","0","北京","http://lishi.tianqi.com/beijing/201101.html","北京1月份天气|北京1月份气温|北京2011年1月份历史天气—全球天气网","2017-04-07 12:17:07.8079628"
