"date","high","low","weather","windDirection","windLevel","isRainy","city","url","title","now"
"2011-01-01","6","2","多云~雨夹雪","北风","4-5级","0","上海","http://lishi.tianqi.com/shanghai/201101.html","上海1月份天气|上海1月份气温|上海2011年1月份历史天气—全球天气网","2017-04-07 12:26:00.8134969"
"2011-01-02","6","2","多云","北风","4-5级","0","上海","http://lishi.tianqi.com/shanghai/201101.html","上海1月份天气|上海1月份气温|上海2011年1月份历史天气—全球天气网","2017-04-07 12:26:01.0451308"
"2011-01-03","7","2","多云~阴","东北风","3-4级","0","上海","http://lishi.tianqi.com/shanghai/201101.html","上海1月份天气|上海1月份气温|上海2011年1月份历史天气—全球天气网","2017-04-07 12:26:01.0794830"
"2011-01-04","6","1","小雨","北风","4-5级","0","上海","http://lishi.tianqi.com/shanghai/201101.html","上海1月份天气|上海1月份气温|上海2011年1月份历史天气—全球天气网","2017-04-07 12:26:01.1040100"
"2011-01-05","5","0","阴~多云","北风","4-5级","0","上海","http://lishi.tianqi.com/shanghai/201101.html","上海1月份天气|上海1月份气温|上海2011年1月份历史天气—全球天气网","2017-04-07 12:26:01.2811256"
"2011-01-06","6","0","多云","北风","3-4级","0","上海","http://lishi.tianqi.com/shanghai/201101.html","上海1月份天气|上海1月份气温|上海2011年1月份历史天气—全球天气网","2017-04-07 12:26:01.4677621"
"2011-01-07","7","2","多云","北风","4-5级","0","上海","http://lishi.tianqi.com/shanghai/201101.html","上海1月份天气|上海1月份气温|上海2011年1月份历史天气—全球天气网","2017-04-07 12:26:01.7364527"
"2011-01-08","7","4","多云~阴","东北风","3-4级","0","上海","http://lishi.tianqi.com/shanghai/201101.html","上海1月份天气|上海1月份气温|上海2011年1月份历史天气—全球天气网","2017-04-07 12:26:01.8970657"
"2011-01-09","7","0","阴~多云","北风","3-4级","0","上海","http://lishi.tianqi.com/shanghai/201101.html","上海1月份天气|上海1月份气温|上海2011年1月份历史天气—全球天气网","2017-04-07 12:26:02.1944842"
"2011-01-10","5","0","多云~阴","东北风~东风","4-5级~3-4级","0","上海","http://lishi.tianqi.com/shanghai/201101.html","上海1月份天气|上海1月份气温|上海2011年1月份历史天气—全球天气网","2017-04-07 12:26:02.2250172"
"2011-01-11","6","2","多云","东风","3-4级","0","上海","http://lishi.tianqi.com/shanghai/201101.html","上海1月份天气|上海1月份气温|上海2011年1月份历史天气—全球天气网","2017-04-07 12:26:02.2805448"
"2011-01-12","7","3","多云~阴","东北风","3-4级","0","上海","http://lishi.tianqi.com/shanghai/201101.html","上海1月份天气|上海1月份气温|上海2011年1月份历史天气—全球天气网","2017-04-07 12:26:02.3131328"
"2011-01-13","6","0","阴~多云","东北风","4-5级","0","上海","http://lishi.tianqi.com/shanghai/201101.html","上海1月份天气|上海1月份气温|上海2011年1月份历史天气—全球天气网","2017-04-07 12:26:02.3391512"
"2011-01-14","5","-2","多云","北风","4-5级","0","上海","http://lishi.tianqi.com/shanghai/201101.html","上海1月份天气|上海1月份气温|上海2011年1月份历史天气—全球天气网","2017-04-07 12:26:02.3621678"
"2011-01-15","3","-1","多云","北风~东北风","4-5级","0","上海","http://lishi.tianqi.com/shanghai/201101.html","上海1月份天气|上海1月份气温|上海2011年1月份历史天气—全球天气网","2017-04-07 12:26:02.3831824"
"2011-01-16","4","0","多云~阴","东北风","4-5级~3-4级","0","上海","http://lishi.tianqi.com/shanghai/201101.html","上海1月份天气|上海1月份气温|上海2011年1月份历史天气—全球天气网","2017-04-07 12:26:02.4071996"
"2011-01-26","7","2","阴","东北风","3-4级","0","上海","http://lishi.tianqi.com/shanghai/201101.html","上海1月份天气|上海1月份气温|上海2011年1月份历史天气—全球天气网","2017-04-07 12:26:02.4297153"
"2011-01-29","4","-2","晴~多云","北风","4-5级","0","上海","http://lishi.tianqi.com/shanghai/201101.html","上海1月份天气|上海1月份气温|上海2011年1月份历史天气—全球天气网","2017-04-07 12:26:02.4582143"
"2011-01-30","4","-3","多云~晴","西北风","4-5级~3-4级","0","上海","http://lishi.tianqi.com/shanghai/201101.html","上海1月份天气|上海1月份气温|上海2011年1月份历史天气—全球天气网","2017-04-07 12:26:02.4797295"
"2011-01-31","7","-2","晴","西北风","微风~3-4级","0","上海","http://lishi.tianqi.com/shanghai/201101.html","上海1月份天气|上海1月份气温|上海2011年1月份历史天气—全球天气网","2017-04-07 12:26:02.5037477"
"2011-02-01","9","1","多云","西南风","3-4级","0","上海","http://lishi.tianqi.com/shanghai/201102.html","上海2月份天气|上海2月份气温|上海2011年2月份历史天气—全球天气网","2017-04-07 12:26:04.7361744"
"2011-02-02","11","2","晴","西南风","微风","0","上海","http://lishi.tianqi.com/shanghai/201102.html","上海2月份天气|上海2月份气温|上海2011年2月份历史天气—全球天气网","2017-04-07 12:26:04.9413195"
"2011-02-03","13","3","晴~多云","南风","微风~3-4级","0","上海","http://lishi.tianqi.com/shanghai/201102.html","上海2月份天气|上海2月份气温|上海2011年2月份历史天气—全球天气网","2017-04-07 12:26:05.2000181"
