date,location,pinyin
2016.07.01,上海,shanghai
2016.07.02,上海,shanghai
2016.07.03,上海,shanghai
2016.07.08,北京,beijing
2016.07.09,北京,beijing
2016.07.10,北京,beijing
2016.07.22,广州,guangzhou
2016.07.23,广州,guangzhou
2016.07.24,广州,guangzhou
2016.09.16,青岛,qingdao
2016.09.24,郑州,zhengzhou
2016.10.15,常州,changzhou
2016.11.05,福州,fuzhou
2016.11.19,长沙,changsha
2013.05.17,上海,shanghai
2013.05.18,上海,shanghai
2013.05.19,上海,shanghai
2013.05.24,北京,beijing
2013.05.25,北京,beijing
2013.05.26,北京,beijing
2013.06.22,成都,chengdu
2013.06.29,武汉,wuhan
2013.07.12,广州,guangzhou
2013.07.13,广州,guangzhou
2013.07.20,南宁,nanning
2013.07.27,天津,tianjin
2013.09.06,台北,taibei
2013.09.07,台北,taibei
2013.09.08,台北,taibei
2013.09.13,香港,hongkong
2013.09.14,香港,hongkong
2013.09.15,香港,hongkong
2013.09.16,香港,hongkong
2013.09.17,香港,hongkong
2013.09.19,香港,hongkong
2013.09.20,香港,hongkong
2013.09.21,香港,hongkong
2013.09.22,香港,hongkong
2013.09.30,西安,xian
2013.10.19,福州,fuzhou
2013.11.02,重庆,chongqing
2013.11.09,南京,nanjing
2013.11.16,杭州,hangzhou
2013.11.24,深圳,shenzhen
2014.04.25,贵阳,guiyang1
2014.05.02,上海,shanghai
2014.05.10,长沙,changsha
2014.05.17,合肥,hefei
2014.05.24,北京,beijing
2014.05.31,郑州,zhengzhou
2014.06.28,青岛,qingdao
2014.07.12,大连,dalian
2014.07.19,常州,changzhou
2014.09.06,广州,guangzhou
2014.09.13,太原,taiyuan
2014.11.19,香港,hongkong
2014.11.24,香港,hongkong
2015.04.11,成都,chengdu
2015.04.18,重庆,chongqing
2015.04.25,天津,tianjin
2015.05.01,西安,xian
2015.05.09,武汉,wuhan
2015.05.16,南京,nanjing
2015.05.23,杭州,hangzhou
2015.05.30,济南,jinan
2015.06.13,厦门,xiamen
2015.06.20,深圳,shenzhen
2015.09.12,沈阳,shenyang
2015.09.19,洛阳,luoyang
2015.09.26,佛山,foshan
2015.10.17,徐州,xuzhou
2015.10.24,丽水,lishui
2015.11.07,苏州,suzhou
2015.11.14,南昌,nanchang
2015.12.20,昆明,kunming
2011.01.15,广州,guangzhou
2011.04.29,洛阳,luoyang
2011.05.01,济南,jinan
2011.06.25,长沙,changsha
2011.07.16,南通,nantong
2011.08.27,沈阳,shenyang
2011.09.11,苏州,suzhou
2011.09.17,深圳,shenzhen
2011.09.30,大连,dalian
2011.11.05,江阴,jiangyin
2011.12.17,高雄,gaoxiong
2011.12.18,高雄,gaoxiong
