"","date","location","pinyin","high","low","weather","winddirec","windlevel","isRainy"
"1","2011.01.15","台北","taibei","17","13","小雨~阴","无持续风向","微风","有雨"
"2","2011.01.16","台北","taibei","16","12","阴","无持续风向","微风","没雨"
"3","2011.01.29","高雄","gaoxiong","30","3","晴","西南风","微风","没雨"
"4","2011.04.16","成都","chengdu","23","16","阴~多云","北风~南风","微风","没雨"
"5","2011.06.17","温州","wenzhou","31","25","雷阵雨~多云","西南风","3-4级","有雨"
"6","2011.06.18","温州","wenzhou","33","25","雷阵雨","西南风","4-5级","有雨"
"7","2011.09.03","常州","changzhou","31","22","晴~多云","东风","3-4级","没雨"
"8","2011.09.17","厦门","xiamen","32","25","多云","无持续风向","微风","没雨"
"9","2011.09.29","北京","beijing","22","11","多云~晴","北风~无持续风向","3-4级~微风","没雨"
"10","2011.10.15","上海","shanghai","23","15","多云","西北风","4-5级","没雨"
"11","2011.11.12","台中","taizhong","25","20","阵雨","无持续风向","微风","有雨"
"12","2011.11.19","台北","taibei","26","21","阵雨","无持续风向","微风","有雨"
"13","2011.12.03","高雄","gaoxiong","25","15","多云","无持续风向","微风","没雨"
"14","2011.12.24","广州","guangzhou","16","5","晴","无持续风向","微风","没雨"
"15","2011.12.31","福州","fuzhou","15","10","阴~多云","无持续风向","微风","没雨"
"16","2012.05.04","郑州","zhengzhou","32","19","晴","南风","小于3级","没雨"
"17","2012.05.11","西安","xian","24","16","阴转多云","西风","3-4级","没雨"
"18","2012.05.19","武汉","wuhan","29","17","多云","东北风","小于3级","没雨"
"19","2012.05.26","长沙","changsha","28","18","阴转多云","南风","小于3级","没雨"
"20","2012.06.02","重庆","chongqing","24","20","阵雨转小雨","西南风","小于3级","有雨"
"21","2012.06.09","绵阳","mianyang","30","20","阴","南风","小于3级","没雨"
"22","2012.06.16","成都","chengdu","23","19","阵雨转多云","东北风","小于3级","有雨"
"23","2012.06.23","昆明","kunming","26","17","雷阵雨","东南风","小于3级","有雨"
"24","2012.06.30","南宁","nanning","32","25","大雨","东北风","小于3级","有雨"
"25","2012.07.07","深圳","shenzhen","33","27","多云","西南风","小于3级","没雨"
"26","2012.07.14","泉州","quanzhou","33","27","阵雨","西南风","3-4级","有雨"
"27","2012.07.21","合肥","hefei","36","27","晴转多云","东南风","小于3级","没雨"
"28","2012.09.01","杭州","hangzhou","32","25","多云","南风","小于3级","没雨"
"29","2012.09.08","南京","nanjing","24","21","中雨","东北风","4-5级转3-4级","有雨"
"30","2012.09.15","天津","tianjin","26","17","晴转多云","南风","小于3级","没雨"
"31","2012.09.22","济南","jinan","26","16","多云转晴","东风","小于3级","没雨"
"32","2012.09.30","佛山","foshan","30","20","晴","东北风","小于3级","没雨"
"33","2012.12.20","澳门","aomen","25","18","多云转晴","东北风","3-4级转小于3级","没雨"
"34","2012.08.24","香港","hongkong","32","27","多云转雷阵雨","暂无实况","4-5级转5-6级","有雨"
"35","2012.08.26","香港","hongkong","32","27","雷阵雨转阵雨","暂无实况","4-5级转5-6级","有雨"
"36","2012.12.01","北京","beijing","2","-6","多云转阴","南风","小于3级","没雨"
"37","2012.12.08","上海","shanghai","7","1","多云转阴","北风","3-4级","没雨"
"38","2012.12.29","广州","guangzhou","12","5","阴转多云","北风","4-5级转3-4级","没雨"
"39","2013.07.06","香港","hongkong","32","28","阵雨转中雨","暂无实况","3-4级","有雨"
"40","2013.08.02","香港","hongkong","30","26","大雨","暂无实况","5-6级","有雨"
"41","2013.12.20","台北","taibei","15","13","小雨","北风","小于3级","有雨"
"42","2013.12.02","高雄","gaoxiong","24","16","多云","暂无实况","小于3级","没雨"
"43","2014.04.12","成都","chengdu","26","16","多云转阴","西风","小于3级","没雨"
"44","2014.04.13","成都","chengdu","27","18","阵雨转多云","东北风","小于3级","有雨"
"45","2014.04.26","重庆","chongqing","22","13","多云","西风","小于3级","没雨"
"46","2014.05.10","自贡","zigong","24","18","阴转多云","西北风","小于3级","没雨"
"47","2014.05.17","达州","dazhou","28","18","多云转阵雨","东风","小于3级","有雨"
"48","2014.05.24","贵阳","guiyang1","23","15","阵雨","西南风","小于3级","有雨"
"49","2014.05.31","昆明","kunming","30","19","多云转阴","西南风","小于3级","没雨"
"50","2014.06.14","广州","guangzhou","34","26","多云","北风","小于3级","没雨"
"51","2014.06.21","厦门","xiamen","31","26","多云转雷阵雨","南风","小于3级","有雨"
"52","2014.06.28","武汉","wuhan","29","22","多云","南风","小于3级","没雨"
"53","2014.07.05","南昌","nanchang","33","26","阵雨转阴","东风","小于3级","有雨"
"54","2014.08.02","南宁","nanning","35","26","阵雨","东南风","小于3级","有雨"
"55","2014.08.09","江阴","jiangyin","29","25","阵雨转阴","西北风","3-4级","有雨"
"56","2014.08.16","北京","beijing","28","22","多云转雷阵雨","东南风","小于3级","有雨"
"57","2014.08.23","哈尔滨","haerbin","27","18","多云转晴","东风","小于3级转3-4级","没雨"
"58","2014.08.30","沈阳","shenyang","30","16","晴转多云","东南风","小于3级","没雨"
"59","2014.09.06","大连","dalian","26","20","晴转多云","南风","4-5级","没雨"
"60","2014.09.13","天津","tianjin","25","20","阴转小雨","西风","小于3级转3-4级","有雨"
"61","2014.09.20","青岛","qingdao","25","19","多云转晴","南风","3-4级","没雨"
"62","2014.09.27","郑州","zhengzhou","24","20","中雨转小雨","西北风","小于3级","有雨"
"63","2014.10.11","上海","shanghai","24","20","多云","东北风","4-5级转5-6级","没雨"
"64","2014.10.12","上海","shanghai","21","17","阴转多云","北风","5-6级","没雨"
"65","2014.10.18","苏州","suzhou","26","18","多云","东南风","3-4级","没雨"
"66","2014.10.25","南通","nantong","27","14","晴转多云","东南风","3-4级","没雨"
"67","2014.11.01","合肥","hefei","16","12","多云转晴","西北风","小于3级","没雨"
"68","2014.11.08","温州","wenzhou","20","16","阵雨转小雨","北风","4-5级转3-4级","有雨"
"69","2014.11.15","杭州","hangzhou","16","12","小雨转阴","西南风","小于3级","有雨"
"70","2014.11.22","常州","changzhou","20","14","阴转小雨","东风","3-4级","有雨"
"71","2014.11.29","宁波","ningbo","17","14","小雨","南风","小于3级","有雨"
"72","2014.12.06","福州","fuzhou","18","10","多云","西北风","小于3级","没雨"
"73","2014.12.13","佛山","foshan","18","9","晴转多云","西北风","小于3级","没雨"
"74","2014.12.20","深圳","shenzhen","19","12","多云","东北风","小于3级","没雨"
"75","2014.12.27","柳州","liuzhou","17","8","多云转晴","北风","小于3级","没雨"
"76","2015.04.04","长沙","changsha","15","12","中雨转雷阵雨","西北风","小于3级转3-4级","有雨"
"77","2015.04.11","南京","nanjing","21","9","阴转雷阵雨","东南风","3-4级转4-5级","有雨"
"78","2015.04.18","洛阳","luoyang","15","11","中雨转小雨","东风","小于3级转3-4级","有雨"
"79","2015.05.02","丽水","lishui","29","21","阵雨转多云","北风","小于3级","有雨"
"80","2015.05.09","泉州","quanzhou","28","21","小雨~阵雨","西风","小于3级","有雨"
"81","2015.06.06","遵义","zunyi","27","19","阵雨~暴雨","西北风","小于3级","有雨"
"82","2015.06.13","太原","taiyuan","29","14","多云~晴","东北风","小于3级","没雨"
"83","2015.06.20","徐州","xuzhou","27","19","多云","南风","小于3级","没雨"
"84","2015.07.04","呼和浩特","huhehaote","30","17","晴~多云","东南风","3-4级","没雨"
"85","2015.08.15","惠州","huizhou","31","25","大雨~雷阵雨","东南风","小于3级","有雨"
"86","2015.08.22","湛江","zhanjiang","35","27","多云","西北风","小于3级","没雨"
"87","2015.08.29","湖州","huzhou","30","22","多云~阴","西南风","小于3级","没雨"
"88","2015.09.05","西安","xian","32","20","晴","西北风","小于3级","没雨"
"89","2015.09.12","济南","jinan","23","13","晴","东南风","小于3级","没雨"
"90","2015.09.19","长春","changchun","22","10","晴","西南风","3-4级转4-5级","没雨"
"91","2015.10.23","重庆","chongqing","24","20","阴","西北风","小于3级","没雨"
"92","2015.10.31","石家庄","shijiazhuang","14","5","多云~小雨","西北风","小于3级转3-4级","有雨"
"93","2015.11.07","嘉兴","jiaxing","26","16","雷阵雨~阵雨","西北风","3-4级","有雨"
"94","2015.11.14","中山","zhongshan","25","19","多云","东南风","小于3级","没雨"
"95","2015.12.30","澳门","aomen","17","14","阵雨~多云","微风","小于3级","有雨"
"96","2015.12.31","澳门","aomen","20","15","多云","微风","小于3级","没雨"
"97","2016.04.01","台北","taibei","18","0","阴","微风","小于3级","没雨"
"98","2016.04.02","台北","taibei","20","0","晴","微风","小于3级","没雨"
"99","2016.04.03","台北","taibei","20","0","晴","微风","小于3级","没雨"
"100","2016.04.04","台北","taibei","19","0","多云","微风","小于3级","没雨"
