"","date","location","pinyin","high","low","weather","winddirec","windlevel","isRainy"
"1","2016.07.01","上海","shanghai","31","26","阵雨","东南风","小于3级","有雨"
"2","2016.07.02","上海","shanghai","30","25","雷阵雨~阵雨","东南风","小于3级","有雨"
"3","2016.07.03","上海","shanghai","30","26","中雨~雷阵雨","东南风","小于3级","有雨"
"4","2016.07.08","北京","beijing","32","24","多云~霾","","3-4级","没雨"
"5","2016.07.09","北京","beijing","34","25","多云~霾","","3-4级","没雨"
"6","2016.07.10","北京","beijing","36","26","多云~霾","","3-4级","没雨"
"7","2016.07.22","广州","guangzhou","36","27","晴","东风","小于3级","没雨"
"8","2016.07.23","广州","guangzhou","36","27","晴","东南风","小于3级","没雨"
"9","2016.07.24","广州","guangzhou","36","27","晴","西南风","小于3级","没雨"
"10","2016.09.16","青岛","qingdao","27","22","阴","东风","2级","没雨"
"11","2016.09.24","郑州","zhengzhou","29","20","多云","北风","微风","没雨"
"12","2016.10.15","常州","changzhou","21","19","小雨","东南风","2级","有雨"
"13","2016.11.05","福州","fuzhou","26","18","多云","西南风","1级","没雨"
"14","2016.11.19","长沙","changsha","21","16","阴","西北风","2级","没雨"
"15","2013.05.17","上海","shanghai","22","19","小雨转中雨","东风","3-4级","有雨"
"16","2013.05.18","上海","shanghai","27","19","小雨转阴","西风","3-4级","有雨"
"17","2013.05.19","上海","shanghai","29","19","多云","西北风","小于3级转3-4级","没雨"
"18","2013.05.24","北京","beijing","29","17","阴转多云","东风","小于3级","没雨"
"19","2013.05.25","北京","beijing","22","19","阴转中雨","东南风","小于3级","有雨"
"20","2013.05.26","北京","beijing","25","17","小雨转阴","东风","小于3级","有雨"
"21","2013.06.22","成都","chengdu","29","23","阵雨转阴","北风","小于3级","有雨"
"22","2013.06.29","武汉","wuhan","30","24","阵雨","南风","小于3级","有雨"
"23","2013.07.12","广州","guangzhou","35","25","晴转阵雨","东北风","小于3级","有雨"
"24","2013.07.13","广州","guangzhou","33","26","阵雨转雷阵雨","西南风","小于3级","有雨"
